Feature,Coefficient,Abs_Coefficient,Config Mode,Balancing Mode
rel_surp_causal_pf_diff,-1.1687600962597722,1.1687600962597722,Combined Model (Config 5),Cluster
rel_surp_pll_pf_diff,-0.8471202708558514,0.8471202708558514,Combined Model (Config 5),Cluster
rel_surp_pll_pf_ratio,0.8001096752335294,0.8001096752335294,Combined Model (Config 5),Cluster
rel_surp_causal_pf_ratio,0.7217742989590431,0.7217742989590431,Combined Model (Config 5),Cluster
surp_causal_pf_sum,-0.7110794865193761,0.7110794865193761,Combined Model (Config 5),Cluster
surp_causal_pf_mean,0.650762698533111,0.650762698533111,Combined Model (Config 5),Cluster
surp_pll_pf_sum,0.6492592509551445,0.6492592509551445,Combined Model (Config 5),Cluster
word_count,0.6095730507219982,0.6095730507219982,Combined Model (Config 5),Cluster
gunning_fog,0.5676595683405711,0.5676595683405711,Combined Model (Config 5),Cluster
concrete_min,0.5289237021062625,0.5289237021062625,Combined Model (Config 5),Cluster
rst_mean_depth,-0.5210234083081928,0.5210234083081928,Combined Model (Config 5),Cluster
stopword_ratio,-0.5113778048603934,0.5113778048603934,Combined Model (Config 5),Cluster
number_ratio,0.4795754697821646,0.4795754697821646,Combined Model (Config 5),Cluster
rel_surp_causal_pf_sum_ratio,0.46337325676683183,0.46337325676683183,Combined Model (Config 5),Cluster
surp_pll_pf_std,0.4492330227535775,0.4492330227535775,Combined Model (Config 5),Cluster
rel_surp_pll_pf_sum_ratio,-0.44263106553415144,0.44263106553415144,Combined Model (Config 5),Cluster
avg_word_length,-0.3801888739479541,0.3801888739479541,Combined Model (Config 5),Cluster
rel_rst_n_ratio,0.343289088484948,0.343289088484948,Combined Model (Config 5),Cluster
ttr,-0.3398559082230271,0.3398559082230271,Combined Model (Config 5),Cluster
concrete_std,0.31760773389438224,0.31760773389438224,Combined Model (Config 5),Cluster
psg_rst_n_count,0.3078707406410602,0.3078707406410602,Combined Model (Config 5),Cluster
flesch_kincaid_grade,-0.30730470269038695,0.30730470269038695,Combined Model (Config 5),Cluster
sentiment_polarity_compound,0.27285847569879723,0.27285847569879723,Combined Model (Config 5),Cluster
rst_s_count,-0.2548856294155287,0.2548856294155287,Combined Model (Config 5),Cluster
rst_rel_elaboration_count,0.24045251347939953,0.24045251347939953,Combined Model (Config 5),Cluster
discourse_addition_count,-0.22758531573007615,0.22758531573007615,Combined Model (Config 5),Cluster
surp_deletion_drop,-0.22166072751480748,0.22166072751480748,Combined Model (Config 5),Cluster
max_parse_depth,0.21307016872300735,0.21307016872300735,Combined Model (Config 5),Cluster
pron_ratio,0.20304293973384493,0.20304293973384493,Combined Model (Config 5),Cluster
period_count,-0.19787599824968954,0.19787599824968954,Combined Model (Config 5),Cluster
comma_count,0.191748391232272,0.191748391232272,Combined Model (Config 5),Cluster
title_ratio,0.1849865254824176,0.1849865254824176,Combined Model (Config 5),Cluster
concrete_mean,-0.1736790192315586,0.1736790192315586,Combined Model (Config 5),Cluster
conj_ratio,0.16859942723452054,0.16859942723452054,Combined Model (Config 5),Cluster
concrete_max,-0.1675726599974477,0.1675726599974477,Combined Model (Config 5),Cluster
verb_ratio,0.16709666939910583,0.16709666939910583,Combined Model (Config 5),Cluster
surp_causal_pf_std,-0.16247538323765412,0.16247538323765412,Combined Model (Config 5),Cluster
psg_rst_max_depth,0.14302042588952021,0.14302042588952021,Combined Model (Config 5),Cluster
pron_3rd_ratio,0.13612367982684945,0.13612367982684945,Combined Model (Config 5),Cluster
prep_ratio,-0.1357419779062936,0.1357419779062936,Combined Model (Config 5),Cluster
rst_rel_attribution_count,0.13500255108720133,0.13500255108720133,Combined Model (Config 5),Cluster
rst_rel_joint_count,-0.13318618430607362,0.13318618430607362,Combined Model (Config 5),Cluster
rst_edu_count,-0.12499010328989575,0.12499010328989575,Combined Model (Config 5),Cluster
noun_ratio,-0.12264130873612353,0.12264130873612353,Combined Model (Config 5),Cluster
parenthesis_count,-0.11739236506260207,0.11739236506260207,Combined Model (Config 5),Cluster
past_tense_ratio,-0.11281066274619664,0.11281066274619664,Combined Model (Config 5),Cluster
colon_count,0.10648028420974112,0.10648028420974112,Combined Model (Config 5),Cluster
discourse_contrast_count,-0.105780263384859,0.105780263384859,Combined Model (Config 5),Cluster
avg_dep_distance,-0.10458907472695497,0.10458907472695497,Combined Model (Config 5),Cluster
sentiment_polarity_neg,0.08209898334859525,0.08209898334859525,Combined Model (Config 5),Cluster
present_tense_ratio,0.07697624189147995,0.07697624189147995,Combined Model (Config 5),Cluster
pron_1st_ratio,-0.0739968871595156,0.0739968871595156,Combined Model (Config 5),Cluster
rst_n_ratio,0.07309315020667097,0.07309315020667097,Combined Model (Config 5),Cluster
sentiment_polarity_pos,-0.06986886583615222,0.06986886583615222,Combined Model (Config 5),Cluster
rel_rst_depth_ratio,0.0681438064093285,0.0681438064093285,Combined Model (Config 5),Cluster
psg_rst_s_count,0.06483491446939019,0.06483491446939019,Combined Model (Config 5),Cluster
rst_is_root,0.06455959229641464,0.06455959229641464,Combined Model (Config 5),Cluster
sentiment_polarity_neu,-0.06426949955533418,0.06426949955533418,Combined Model (Config 5),Cluster
cap_ratio,0.06121770319128571,0.06121770319128571,Combined Model (Config 5),Cluster
flesch_reading_ease,-0.05243445900085087,0.05243445900085087,Combined Model (Config 5),Cluster
surp_pll_pf_max,0.04086779716601267,0.04086779716601267,Combined Model (Config 5),Cluster
adv_ratio,0.03355109633116957,0.03355109633116957,Combined Model (Config 5),Cluster
surp_causal_pf_min,-0.030218873107216326,0.030218873107216326,Combined Model (Config 5),Cluster
adj_ratio,0.028333393839830516,0.028333393839830516,Combined Model (Config 5),Cluster
semicolon_count,0.021932700850558477,0.021932700850558477,Combined Model (Config 5),Cluster
pron_2nd_ratio,-0.021018989465431875,0.021018989465431875,Combined Model (Config 5),Cluster
rst_n_count,0.01698631340713994,0.01698631340713994,Combined Model (Config 5),Cluster
surp_pll_pf_mean,0.016893927295440588,0.016893927295440588,Combined Model (Config 5),Cluster
surp_pll_pf_min,0.01521128650027625,0.01521128650027625,Combined Model (Config 5),Cluster
char_count,-0.009843044005550423,0.009843044005550423,Combined Model (Config 5),Cluster
discourse_causal_count,-0.0032789656982854507,0.0032789656982854507,Combined Model (Config 5),Cluster
surp_causal_pf_max,0.0012965378265345797,0.0012965378265345797,Combined Model (Config 5),Cluster
exclamation_count,0.0,0.0,Combined Model (Config 5),Cluster
question_count,0.0,0.0,Combined Model (Config 5),Cluster
rst_rel_background_count,0.0,0.0,Combined Model (Config 5),Cluster
rst_rel_cause_count,0.0,0.0,Combined Model (Config 5),Cluster
rst_rel_result_count,0.0,0.0,Combined Model (Config 5),Cluster
rst_rel_contrast_count,0.0,0.0,Combined Model (Config 5),Cluster
flesch_kincaid_grade,0.6693549597200966,0.6693549597200966,Combined Model (Config 5),DSNB
sentiment_polarity_compound,0.517130958590831,0.517130958590831,Combined Model (Config 5),DSNB
rel_surp_causal_pf_diff,-0.46193193770645646,0.46193193770645646,Combined Model (Config 5),DSNB
surp_causal_pf_sum,-0.44732894364336806,0.44732894364336806,Combined Model (Config 5),DSNB
rel_rst_depth_ratio,-0.4352162593200495,0.4352162593200495,Combined Model (Config 5),DSNB
rel_surp_pll_pf_ratio,0.39590907991271035,0.39590907991271035,Combined Model (Config 5),DSNB
rel_surp_causal_pf_sum_ratio,0.3915040652265038,0.3915040652265038,Combined Model (Config 5),DSNB
rel_surp_pll_pf_diff,-0.3858250027548695,0.3858250027548695,Combined Model (Config 5),DSNB
char_count,0.3604461030535301,0.3604461030535301,Combined Model (Config 5),DSNB
psg_rst_max_depth,-0.3582728362672091,0.3582728362672091,Combined Model (Config 5),DSNB
sentiment_polarity_pos,-0.35821448194058564,0.35821448194058564,Combined Model (Config 5),DSNB
flesch_reading_ease,0.3575341365124651,0.3575341365124651,Combined Model (Config 5),DSNB
surp_causal_pf_mean,0.3485856017963128,0.3485856017963128,Combined Model (Config 5),DSNB
rel_surp_pll_pf_sum_ratio,-0.3334769077639078,0.3334769077639078,Combined Model (Config 5),DSNB
surp_deletion_drop,-0.31487445635763184,0.31487445635763184,Combined Model (Config 5),DSNB
surp_causal_pf_max,-0.29620721794002297,0.29620721794002297,Combined Model (Config 5),DSNB
rst_is_root,0.2927040418267483,0.2927040418267483,Combined Model (Config 5),DSNB
sentiment_polarity_neg,0.27037193865851056,0.27037193865851056,Combined Model (Config 5),DSNB
psg_rst_n_count,0.2602151909449055,0.2602151909449055,Combined Model (Config 5),DSNB
stopword_ratio,-0.23985083502046245,0.23985083502046245,Combined Model (Config 5),DSNB
surp_causal_pf_std,0.23562785462853353,0.23562785462853353,Combined Model (Config 5),DSNB
pron_1st_ratio,-0.23381247347471293,0.23381247347471293,Combined Model (Config 5),DSNB
discourse_contrast_count,-0.2333142564272759,0.2333142564272759,Combined Model (Config 5),DSNB
surp_pll_pf_std,0.22511006339110498,0.22511006339110498,Combined Model (Config 5),DSNB
discourse_addition_count,-0.22124169382585795,0.22124169382585795,Combined Model (Config 5),DSNB
concrete_min,-0.21674690053998957,0.21674690053998957,Combined Model (Config 5),DSNB
word_count,0.21172899074357648,0.21172899074357648,Combined Model (Config 5),DSNB
colon_count,0.20035923443612388,0.20035923443612388,Combined Model (Config 5),DSNB
number_ratio,0.19732644790089407,0.19732644790089407,Combined Model (Config 5),DSNB
rel_rst_n_ratio,0.17674860478594207,0.17674860478594207,Combined Model (Config 5),DSNB
pron_ratio,0.17011112183876798,0.17011112183876798,Combined Model (Config 5),DSNB
rel_surp_causal_pf_ratio,0.16830483108800723,0.16830483108800723,Combined Model (Config 5),DSNB
comma_count,0.1612772684676668,0.1612772684676668,Combined Model (Config 5),DSNB
concrete_max,0.1606580500094211,0.1606580500094211,Combined Model (Config 5),DSNB
avg_word_length,-0.15268157938005375,0.15268157938005375,Combined Model (Config 5),DSNB
period_count,0.1369618683428694,0.1369618683428694,Combined Model (Config 5),DSNB
rst_mean_depth,0.1281957721717363,0.1281957721717363,Combined Model (Config 5),DSNB
conj_ratio,0.12805002935881646,0.12805002935881646,Combined Model (Config 5),DSNB
