Model Configuration,Balancing,Split,Accuracy,Precision,Recall,F1,Macro_Accuracy,Macro_Precision,Macro_Recall,Macro_F1,MRR,MAP,NDCG
1. RST Rule-Based,None,train,0.19643633202955238,0.19643633202955238,1.0,0.32836905194333454,0.24366260583074745,0.24366260583074745,1.0,0.37334514060177776,0.5075994617476919,0.5075994617476919,0.6279550843874949
1. RST Rule-Based,None,validation,0.17903930131004367,0.17903930131004367,1.0,0.3037037037037037,0.22187627187627187,0.22187627187627187,1.0,0.3475209975209976,0.4688949938949939,0.4721001221001221,0.599548422946811
2. LR (RST),None,train,0.3446327683615819,0.22063492063492063,0.922566371681416,0.3561058923996584,0.33161545927032654,0.2506953223767383,0.922566371681416,0.379335229667088,0.5518436578171092,0.5518436578171092,0.6617691747590302
2. LR (RST),None,validation,0.45414847161572053,0.2,0.6829268292682927,0.30939226519337015,0.4245624745624744,0.22136752136752136,0.6923076923076923,0.32124542124542127,0.5295482295482296,0.5276556776556776,0.642788886808305
2. LR (RST),Pairwise,train,0.27162103433289875,0.20884871550903902,0.9712389380530974,0.3437744714173845,0.28701258795285345,0.24869890434049727,0.9712389380530974,0.37888828231748584,0.5468262747576906,0.5468262747576906,0.6578150792767836
2. LR (RST),Pairwise,validation,0.3231441048034934,0.18333333333333332,0.8048780487804879,0.2986425339366516,0.3233719983719983,0.21660561660561667,0.8076923076923077,0.327899877899878,0.47918192918192914,0.47728937728937726,0.6047339792210096
2. LR (RST),Cluster,train,0.26510212950890916,0.20570071258907363,0.9579646017699115,0.3386781384434885,0.29538678504386473,0.251464391066161,0.9579646017699115,0.37870985946207186,0.5488516645596292,0.5488516645596292,0.6595793132234935
2. LR (RST),Cluster,validation,0.2183406113537118,0.18636363636363637,1.0,0.31417624521072796,0.25158730158730147,0.2267094017094017,1.0,0.3547415547415548,0.5264957264957265,0.5262820512820513,0.6412742350483844
2. LR (RST),RST-Neighborhood,train,0.2598870056497175,0.20369493131217434,0.9513274336283186,0.3355442840421381,0.29231713468439136,0.24783765276021916,0.9513274336283186,0.3759354337894161,0.5362234864447254,0.5362234864447254,0.6500825252614403
2. LR (RST),RST-Neighborhood,validation,0.23580786026200873,0.18691588785046728,0.975609756097561,0.3137254901960784,0.27208994708994705,0.2288970288970289,0.9743589743589743,0.355905205905206,0.547008547008547,0.5502442002442002,0.6591066906313261
2. LR (RST),DSNB,train,0.27553237722729246,0.20552593310712555,0.9380530973451328,0.3371769383697813,0.3008800074065561,0.24736532518612167,0.9380530973451328,0.37458533354551055,0.5313440983794966,0.5313440983794966,0.6463613248630976
2. LR (RST),DSNB,validation,0.32751091703056767,0.20418848167539266,0.9512195121951219,0.33620689655172414,0.34560439560439554,0.2434981684981684,0.9615384615384616,0.37490842490842496,0.5507326007326007,0.5539682539682539,0.6621578445391919
3. LR (Linguistic),None,train,0.3546284224250326,0.2230563002680965,0.9203539823008849,0.3590850237375917,0.3809817517782119,0.2691524920507221,0.9203539823008849,0.3994591937069813,0.6026847967666552,0.6026847967666552,0.7004174736150752
3. LR (Linguistic),None,validation,0.26200873362445415,0.18627450980392157,0.926829268292683,0.31020408163265306,0.30964590964590955,0.24007936507936514,0.9230769230769231,0.3579568579568579,0.5379120879120879,0.5386752136752136,0.6523520565120864
3. LR (Linguistic),Pairwise,train,0.19991308126901347,0.19712167466201483,1.0,0.32932604735883425,0.24513753208443476,0.2438100984561162,1.0,0.37359268067232665,0.5846976401179941,0.5846976401179941,0.6872942601308681
3. LR (Linguistic),Pairwise,validation,0.17903930131004367,0.17903930131004367,1.0,0.3037037037037037,0.22187627187627187,0.22187627187627187,1.0,0.3475209975209976,0.5222832722832722,0.523046398046398,0.6405740158603092
