Feature,Coef,Std_Err,z,p,sig
number_ratio,0.34059311014430393,0.04765666501427197,7.146809581457386,8.881784197001252e-13,***
rel_surp_causal_pf_sum_ratio,0.9550919141446248,0.14717873788405633,6.489333499360634,8.621703351252563e-11,***
sentence_idx_control,-0.2793529526559618,0.05063461269677504,-5.517035438364358,3.447659313593476e-08,***
title_ratio,0.16875802836529122,0.04589112593365118,3.6773564590522243,0.00023566361065219255,***
pron_3rd_ratio,0.174137011272809,0.06523180530521132,2.6695108384329407,0.007596182146898833,**
max_parse_depth,-0.14488938216174238,0.059950120283657544,-2.4168322177868817,0.015656231919472408,*
concrete_max,0.21761191288997583,0.09586066716845773,2.27008552431168,0.023202394452373376,*
surp_causal_pf_std,-0.14270301940263405,0.0711691504953851,-2.0051246700195966,0.04494972070909453,*
word_count,-0.3825465786368824,0.1918239894720386,-1.9942582765053203,0.0461238364102563,*
rst_rel_joint_count,-0.1001163820194094,0.05073822737203709,-1.9731943192517925,0.048473427452675244,*
verb_ratio,0.09464858585113703,0.048343510826765045,1.9578343449300233,0.05024945393326874,
surp_causal_pf_min,-0.10258775496354224,0.054046600395835157,-1.8981352057704572,0.05767827352257959,
prep_ratio,0.0906629278673887,0.048274837822245516,1.8780576374222504,0.06037328069926895,
surp_causal_pf_sum,0.34547420138174983,0.19121724038933852,1.806710528184215,0.07080742528837325,
pron_ratio,-0.12051682376071206,0.07141203876248474,-1.6876261460837019,0.0914830169386267,
rst_mean_depth,-0.14542163882166506,0.08973284944589446,-1.6206064971707919,0.10510205793732519,
ttr,-0.08255892066215745,0.05544994627956974,-1.4888909043465723,0.13651609909508822,
pron_1st_ratio,0.060554295066806645,0.04067673604443454,1.4886714361904116,0.1365739102131318,
adv_ratio,-0.05460704864684346,0.041172882573131835,-1.3262867507478904,0.1847447337595467,
period_count,-0.06286724099292419,0.04965938274000281,-1.265969037957491,0.20552416746956492,
surp_pll_pf_min,0.05201025273310414,0.04268211378529434,1.2185491326585542,0.2230153657150158,
sentiment_polarity_neu,-0.04438477379746822,0.03894054893894077,-1.1398086315389147,0.2543660369048011,
rel_rst_depth_ratio,-0.08002753509232677,0.07621868124872298,-1.0499727072313731,0.2937306611717463,
surp_deletion_drop,0.13927808159934052,0.1413143011358044,0.9855908459363426,0.32433393187861626,
surp_causal_pf_max,0.057510191778290906,0.06076553174791428,0.946427853488913,0.3439304043376441,
surp_causal_pf_mean,0.10034855113764446,0.11080182882628586,0.9056578957281476,0.36511695458075577,
gunning_fog,0.05559589784347407,0.061484895297557074,0.9042204199001541,0.3658785345249205,
conj_ratio,-0.04358066725534574,0.05401939082528365,-0.8067596947973711,0.4198049444556433,
rel_rst_n_ratio,0.11235499056791143,0.14458261349406468,0.7770989045824916,0.4371004202176456,
past_tense_ratio,0.03217476755171535,0.043381067636679385,0.7416776327678729,0.4582826748046549,
stopword_ratio,-0.04056326943254921,0.05660572553657745,-0.7165930486367155,0.473625234936756,
question_count,-0.028934338002043442,0.0404787109367211,-0.7148038396597027,0.4747302622590388,
surp_pll_pf_max,0.027814783149640417,0.042327754046269074,0.6571287273885518,0.5110981486907198,
concrete_min,-0.05073907547953934,0.08457854326887242,-0.5999048164998714,0.548569672279539,
rel_surp_causal_pf_diff,-0.21111293932483807,0.3560905102564747,-0.5928631436226247,0.5532727454300883,
exclamation_count,-0.28155125976430645,0.5091208786820894,-0.5530145620685016,0.5802534387757743,
rst_n_count,0.0619410414279754,0.13147024445229238,0.47114114441654076,0.637539944968069,
pron_2nd_ratio,-0.017005184495948802,0.037534858413846295,-0.45305045002316385,0.6505124139873437,
concrete_mean,-0.033413643441738715,0.07395906033450937,-0.4517856675113526,0.6514233958641755,
discourse_addition_count,-0.02534282926662244,0.06181077334714707,-0.4100066686480337,0.6818010556757088,
concrete_std,-0.0382529115623044,0.09564733076877636,-0.39993705265836743,0.6892028806156842,
rel_surp_causal_pf_ratio,-0.12457265828061181,0.32804885880746576,-0.3797381241729129,0.7041398172803113,
discourse_contrast_count,-0.01577677765326179,0.042689239484143,-0.3695727036580754,0.7117008926262893,
psg_rst_n_count,-0.026381688391113014,0.0717213491327821,-0.3678359192919111,0.7129955841253794,
rst_rel_elaboration_count,0.015930394584422847,0.0512062237785581,0.31110270215030933,0.7557225469960236,
avg_dep_distance,-0.010764429610873304,0.06119627369443698,-0.17590008281585678,0.8603724402878095,
parenthesis_count,0.010757286434273768,0.06877995931713295,0.15640146550063674,0.8757165820884261,
rst_rel_attribution_count,-0.004660924480071065,0.04327299040882194,-0.10770978469564829,0.9142259076080117,
